scorer,,,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi
bodyparts,,,left_eye,left_eye,right_eye,right_eye,middle,middle,tail,tail,well_center,well_center
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,train-edge,1.png,796.3555302819948,397.3501244273483,804.8163761378271,398.19620901293155,800.5859532099109,425.27091575159557,803.1242069666607,476.8820754721739,435.9234968235296,448.1151995623434
labeled-data,train-edge,10.png,191.40505158996996,444.73086122001035,199.0198128602193,449.80736873350986,185.4824594908872,469.26731420192465,156.71558358105676,510.72545889550395,430.84698931003004,459.9603837605089
labeled-data,train-edge,11.png,386.850590859701,811.0854867775581,386.00450627411783,803.4707255073089,408.84879008486564,809.3933176063916,453.69127312077785,807.7011484352252,424.9243972109473,442.19260746326063
labeled-data,train-edge,12.png,426.6165663821139,809.3933176063916,421.5400588686143,814.4698251198912,410.540959256032,802.6246409217257,378.3897450038686,769.6273420839789,441.00000433702917,445.5769458055936
labeled-data,train-edge,13.png,502.76417908460644,556.4140265169996,506.9946020125228,566.5670415439986,481.6120644450252,566.5670415439986,432.53915848119664,578.4122257421641,426.6165663821139,434.57784619301134
labeled-data,train-edge,14.png,136.40955352705862,696.8640677238193,139.7938918693917,689.24930645357,158.40775275222325,708.7092519219848,192.25113617555326,740.014381588565,434.23132765236323,453.1917070758429
labeled-data,train-edge,15.png,45.87850286965079,539.4923348053345,53.49326413990002,536.9540810485847,57.723687067816286,557.2601111025828,77.18363253623113,590.2574099403296,428.30873555328026,450.6534533190931
labeled-data,train-edge,16.png,52.647179554316835,340.6624571932704,60.26194082456607,340.6624571932704,58.569771653399584,364.3528255896015,59.41585623898277,396.504039841765,439.30783516586257,451.49953790467634
labeled-data,train-edge,17.png,261.6300721933799,102.91268864437683,265.01441053571284,111.37353450020935,245.5544650672981,113.06570367137583,193.09722076113655,136.7560720677069,441.84608892261235,462.49863751725866
labeled-data,train-edge,18.png,223.5562658421336,760.320411642563,217.63367374305085,751.8595657867306,232.01711169796602,745.0908891020646,263.32224136454636,725.6309436336497,446.9225964361119,460.8064683460921
labeled-data,train-edge,19.png,235.4014500402991,756.9360733002301,224.40235042771678,755.2439041290636,231.17102711238283,740.014381588565,233.7092808691326,696.017983138236,451.15301936402807,452.34562249025964
labeled-data,train-edge,2.png,191.40505158996996,732.3996203183158,183.79029031972073,736.630043246232,181.25203656297094,719.708351534567,166.02251402247248,678.2502068409877,444.38434267936213,446.42303039117684
labeled-data,train-edge,20.png,223.5562658421336,751.8595657867306,216.78758915746755,747.6291428588144,230.32494252679953,734.0917894894823,254.86139550871383,695.1718985526527,446.9225964361119,446.42303039117684
labeled-data,train-edge,21.png,261.6300721933799,781.4725262821444,253.16922633754734,784.0107800388942,249.78488799521438,765.3969191560626,238.78578838263206,725.6309436336497,446.07651185052873,458.2682145893424
labeled-data,train-edge,22.png,221.864096670967,759.4743270569799,217.63367374305085,752.7056503723138,228.63277335563305,743.3987199308981,254.01531092313064,720.5544361201503,437.6156659946962,457.42213000375915
labeled-data,train-edge,23.png,222.7101812565503,757.7821578858134,216.78758915746755,753.5517349578971,227.78668877004986,740.8604661741483,252.32314175196416,704.4788289940685,453.69127312077785,448.9612841479266
labeled-data,train-edge,24.png,216.78758915746755,765.3969191560626,213.40325081513458,762.0125808137296,220.17192749980052,745.9369736876478,239.63187296821536,707.0170827508183,436.7695814091128,459.11429917492563
labeled-data,train-edge,25.png,253.16922633754734,768.7812574983956,245.5544650672981,769.6273420839789,243.01621131054833,748.4752274443975,230.32494252679953,705.3249135796517,451.15301936402807,454.88387624700937
labeled-data,train-edge,26.png,237.93970379704888,767.0890883272291,227.78668877004986,767.9351729128124,232.01711169796602,747.6291428588144,232.01711169796602,712.0935902643178,426.6165663821139,465.8829758595916
labeled-data,train-edge,27.png,226.09451959888327,752.7056503723138,228.63277335563305,744.2448045164813,248.0927188240479,760.320411642563,289.55086351762714,780.6264416965611,447.7686810216951,453.1917070758429
