scorer,,,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080,DLC_Resnet50_singlelarvae_imagingJun13shuffle1_snapshot_080
bodyparts,,,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,middle,middle,middle,tail,tail,tail,well_center,well_center,well_center
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,well_15,img1459.png,25.185709,914.2525,0.38807127,21.463728,911.273,0.4445063,529.6723,93.157974,0.6269655,526.41956,120.71601,0.52922386,49.72927,873.11597,0.050813783
labeled-data,well_15,img0464.png,325.41238,306.86288,0.75629497,328.06342,299.48444,0.7203502,349.05466,314.96152,1.0,397.07797,342.2224,0.533595,49.771843,873.20605,0.0558761
labeled-data,well_15,img1636.png,489.12628,81.414276,0.18950143,485.166,82.85731,0.21408528,826.2474,899.36115,0.17878003,167.10287,128.08676,0.2864994,379.39075,712.22125,0.04643485
labeled-data,well_15,img0202.png,375.40222,340.67273,1.0,383.96515,342.03683,1.0,382.50497,366.791,1.0,377.62143,434.81317,0.8896249,378.15393,428.6141,0.059770394
labeled-data,well_15,img0886.png,670.0528,373.1588,0.99766535,667.81744,363.5023,0.9447939,694.9973,367.2115,1.0,758.54517,360.04666,0.709425,381.07236,709.2006,0.053614262
labeled-data,well_15,img1174.png,408.08,229.71252,1.0,417.17508,230.85956,1.0,410.25235,255.40079,1.0,386.997,311.4698,0.606093,122.9798,132.87859,0.05155557
labeled-data,well_15,img0033.png,27.90816,909.53296,0.42842215,23.833544,907.2408,0.47893816,302.00974,356.24225,0.4928895,255.88612,355.07568,0.6938,78.13033,124.782265,0.055228956
labeled-data,well_15,img0713.png,542.7628,273.07962,0.6910855,540.6743,271.65143,0.7214043,546.30096,254.85243,0.33972755,556.1124,179.98055,0.47085667,544.2273,276.29196,0.054107483
labeled-data,well_15,img1070.png,622.0767,679.3135,1.0,631.8437,677.08997,1.0,632.22626,705.2834,1.0,637.35944,758.5814,0.80997795,634.5816,748.61163,0.074712835
labeled-data,well_15,img0100.png,571.12573,559.5559,1.0,570.7468,572.0366,1.0,549.8491,564.1434,1.0,481.3587,564.82214,0.56140125,122.765015,132.85254,0.035789605
labeled-data,well_15,img0685.png,598.7604,577.41846,1.0,601.9265,567.6482,1.0,619.42633,591.3116,1.0,668.6317,636.5912,0.6452933,86.3101,125.95036,0.10085648
labeled-data,well_15,img0385.png,419.3961,489.63235,1.0,416.70764,499.14926,1.0,395.30396,487.95172,0.9546861,333.43024,472.1499,0.6680184,568.6681,586.6237,0.050528206
labeled-data,well_15,img1093.png,762.0851,767.14014,0.7507052,765.4525,773.55066,0.81392366,750.8235,779.55475,0.6683449,162.60062,127.90779,0.45304245,85.706924,125.633286,0.080927074
labeled-data,well_15,img1229.png,404.6297,850.25134,0.8592015,398.9107,851.914,0.8311982,397.94745,833.27045,0.57713616,384.01614,773.55066,0.70355856,569.14307,586.26074,0.051436365
labeled-data,well_15,img1744.png,241.72581,182.81845,0.9669418,237.52965,173.34102,0.8862161,262.52908,172.22388,1.0,315.55258,166.28885,0.727154,561.03577,594.22266,0.048092782
labeled-data,well_15,img1153.png,500.24762,282.36542,1.0,495.93228,274.32858,0.89178056,517.4771,259.4507,1.0,564.40295,216.30313,0.767404,569.61115,585.76434,0.046266604
labeled-data,well_15,img1076.png,347.9482,664.8563,1.0,343.2588,655.6509,1.0,367.51102,648.9557,1.0,425.2846,617.64606,0.86581075,49.547794,873.32684,0.05630803
labeled-data,well_15,img0511.png,677.15375,564.58923,0.64408493,683.7591,564.4578,0.68697655,683.84827,588.4984,0.98780113,678.2718,651.2292,0.6445326,85.54862,132.15602,0.054860372
labeled-data,well_15,img1502.png,766.4555,175.58035,0.8930382,768.0401,182.58447,0.9008469,758.3222,190.36647,0.9471133,721.2051,223.8104,0.751578,379.15125,712.379,0.051288124
labeled-data,well_15,img0268.png,284.2953,395.16144,0.94489723,273.47272,395.66498,0.9832819,280.54764,370.05478,0.93754226,276.71243,304.71625,0.47988594,569.62506,585.60767,0.053032096
