scorer,,,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi,rishi
bodyparts,,,left_eye,left_eye,right_eye,right_eye,middle,middle,tail,tail,well_center,well_center
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,blank,1.png,,,,,,,,,449.99058620947886,457.6745653202517
labeled-data,blank,10.png,,,,,,,,,422.7927087678109,455.0425126646064
labeled-data,blank,11.png,,,,,,,,,454.3773406355543,433.10874053422907
labeled-data,blank,12.png,,,,,,,,,432.443568505177,458.5519162054668
labeled-data,blank,13.png,,,,,,,,,439.46237558689774,429.5993369933687
labeled-data,blank,14.png,,,,,,,,,433.320919390392,440.1275476159498
labeled-data,blank,15.png,,,,,,,,,455.2546915207694,442.7596002715951
labeled-data,blank,16.png,,,,,,,,,444.7264808981883,460.306617975897
labeled-data,blank,17.png,,,,,,,,,444.7264808981883,452.41046000896114
labeled-data,blank,18.png,,,,,,,,,436.8303229312524,454.1651617793913
labeled-data,blank,19.png,,,,,,,,,446.4811826686185,442.7596002715951
labeled-data,blank,2.png,,,,,,,,,442.09442824254296,448.90105646810076
labeled-data,blank,20.png,,,,,,,,,455.2546915207694,464.69337240197245
labeled-data,blank,3.png,,,,,,,,,443.84913001297315,453.28781089417623
labeled-data,blank,4.png,,,,,,,,,464.02820037292037,455.9198635498215
labeled-data,blank,5.png,,,,,,,,,443.84913001297315,456.7972144350366
labeled-data,blank,6.png,,,,,,,,,449.1132353242637,435.74079318987435
labeled-data,blank,7.png,,,,,,,,,450.8679370946939,449.77840735331586
labeled-data,blank,8.png,,,,,,,,,450.8679370946939,448.90105646810076
labeled-data,blank,9.png,,,,,,,,,448.2358844390487,448.02370558288567
labeled-data,train-edge,1.png,796.3555302819948,397.3501244273483,804.8163761378271,398.19620901293155,800.5859532099109,425.27091575159557,803.1242069666607,476.8820754721739,435.9234968235296,448.1151995623434
labeled-data,train-edge,10.png,191.40505158996996,444.73086122001035,199.0198128602193,449.80736873350986,185.4824594908872,469.26731420192465,156.71558358105676,510.72545889550395,430.84698931003004,459.9603837605089
labeled-data,train-edge,11.png,386.850590859701,811.0854867775581,386.00450627411783,803.4707255073089,408.84879008486564,809.3933176063916,453.69127312077785,807.7011484352252,424.9243972109473,442.19260746326063
labeled-data,train-edge,12.png,426.6165663821139,809.3933176063916,421.5400588686143,814.4698251198912,410.540959256032,802.6246409217257,378.3897450038686,769.6273420839789,441.00000433702917,445.5769458055936
labeled-data,train-edge,13.png,502.76417908460644,556.4140265169996,506.9946020125228,566.5670415439986,481.6120644450252,566.5670415439986,432.53915848119664,578.4122257421641,426.6165663821139,434.57784619301134
labeled-data,train-edge,14.png,136.40955352705862,696.8640677238193,139.7938918693917,689.24930645357,158.40775275222325,708.7092519219848,192.25113617555326,740.014381588565,434.23132765236323,453.1917070758429
labeled-data,train-edge,15.png,45.87850286965079,539.4923348053345,53.49326413990002,536.9540810485847,57.723687067816286,557.2601111025828,77.18363253623113,590.2574099403296,428.30873555328026,450.6534533190931
labeled-data,train-edge,16.png,52.647179554316835,340.6624571932704,60.26194082456607,340.6624571932704,58.569771653399584,364.3528255896015,59.41585623898277,396.504039841765,439.30783516586257,451.49953790467634
labeled-data,train-edge,17.png,261.6300721933799,102.91268864437683,265.01441053571284,111.37353450020935,245.5544650672981,113.06570367137583,193.09722076113655,136.7560720677069,441.84608892261235,462.49863751725866
labeled-data,train-edge,18.png,223.5562658421336,760.320411642563,217.63367374305085,751.8595657867306,232.01711169796602,745.0908891020646,263.32224136454636,725.6309436336497,446.9225964361119,460.8064683460921
labeled-data,train-edge,19.png,235.4014500402991,756.9360733002301,224.40235042771678,755.2439041290636,231.17102711238283,740.014381588565,233.7092808691326,696.017983138236,451.15301936402807,452.34562249025964
labeled-data,train-edge,2.png,191.40505158996996,732.3996203183158,183.79029031972073,736.630043246232,181.25203656297094,719.708351534567,166.02251402247248,678.2502068409877,444.38434267936213,446.42303039117684
